species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Lannea schweinfurthii,n,palmately_compound,shrub,shrub_single_stemmed,11,single_stemmed_woody,high,11,14.4454545454545,11,7.46363636363636,11,350,103.636363636364,11,21.9090909090909,114.726363636364,11,3
Lantana camara,n,simple,shrub,shrub_multi_stemmed,10,multi_stemmed_woody,extremely_thick,10,6.67,10,4.06,10,270,146.95,10,10.73,27.477,10,4
Lantana rugosa,n,simple,forb,straight_forb,13,straight_herb,low,13,4.38461538461539,13,2.06153846153846,13,123,55.3076923076923,13,6.44615384615385,9.40307692307692,13,1
Lauridia tetragona,n,simple,shrub,shrub_single_stemmed,5,single_stemmed_woody,low,5,4.26,5,2.06,5,100,58.4,5,6.32,8.908,5,1
Ledebouria cooperi,n,linear,forb,round_forb,5,round_herb,low,5,37,5,2.4,5,41,29,5,39.4,88.56,5,1
Ledebouria revoluta,n,simple,forb,cushion_forb,15,cushion_herb,high,15,4.74666666666667,15,2.30666666666667,15,10,3.28,15,7.05333333333333,12.152,15,3
Leucas glabrata,n,simple,forb,straight_forb,4,straight_herb,low,4,3.25,4,0.825,4,48,42.75,4,4.075,2.22,4,1
Litogyne gariepina,n,simple,forb,straight_forb,2,straight_herb,medium,2,2.6,2,1.1,2,43,40,2,3.7,2.8,2,2
Maerua cafra,n,pinnately_compound,tree,tree_single_stemmed,2,single_stemmed_woody,low,2,4.7,5,3.76,5,410,342.5,2,8.46,17.65,5,1
Maerua parvifolia,n,simple,shrub,shrub_single_stemmed,5,single_stemmed_woody,low,5,0.82,5,0.44,5,64,46.8,5,1.26,0.362,5,1
Melhania acuminata,n,simple,forb,straight_forb,5,straight_herb,medium,5,7.54,5,3.86,5,66,57,5,11.4,29.47,5,2
Melhania prostrata,n,simple,forb,straight_forb,8,straight_herb,low,8,7.6625,8,2.0125,8,70,47,8,9.675,15.74625,8,1
Merremia palmata,n,lobed,forb,climbing_forb,5,climbing_herb,low,5,5.78,5,5.4,5,70,64,5,11.18,33.264,5,1
Mystroxylon aethiopicum,n,simple,tree,tree_multi_stemmed,4,multi_stemmed_woody,medium,4,2.475,4,1.875,4,210,120,4,4.35,4.8625,4,2
Nidorella sp. 1,n,lobed,forb,straight_forb,7,straight_herb,low,7,3.22857142857143,7,0.828571428571429,7,85,67.1428571428571,7,4.05714285714286,2.87428571428571,7,1
Ocimum filamentosum,n,simple,forb,straight_forb,3,straight_herb,medium,3,3.23333333333333,3,1.26666666666667,3,90,55,3,4.5,4.12666666666667,3,2
Ocimum obovatum,n,simple,forb,straight_forb,4,straight_herb,low,4,3.375,4,1.35,4,32,25.5,4,4.725,4.685,4,1
Ormocarpum trichocarpum,n,pinnately_compound,shrub,shrub_single_stemmed,12,single_stemmed_woody,low,12,2.45833333333333,12,1.18333333333333,12,90,57,12,3.64166666666667,2.9225,12,1
Ozoroa paniculosa,n,simple,tree,shrub_multi_stemmed,4,multi_stemmed_woody,high,4,9.525,4,3.25,4,374,244,4,12.775,31.7625,4,3
