plot_id,site_id,elevation_plot,map_plot,mat_plot,npp_plot,ndvi_plot,evi_plot,fire_frequency,years_since_last_fire,last_fire_year
knp_roan_in_2,knp_roan_in,382,456.800018310547,23.25,2770.8333333,3859.809628,2091.8949672,0.3478261,0,2024
knp_roan_in_3,knp_roan_in,382,456.800018310547,23.25,2856.282197,3858.0605048,2089.980516,0.3458498,0,2024
knp_roan_in_4,knp_roan_in,383.852905273438,456.799987792969,23.25,3967.1174242,3835.3219037,2065.0926511,0.3201581,0,2024
knp_roan_in_5,knp_roan_in,383.622131347656,456.800018310547,23.25,4266.188447,3829.1999726,2058.3920721,0.3132411,0,2024
knp_roan_in_6,knp_roan_in,382.7578125,456.800018310547,23.25,4479.8106061,3824.8271647,2053.6059442,0.3083004,0,2024
knp_roan_in_7,knp_roan_in,380.999969482422,456.800018310547,23.25,4650.7083333,3821.3289183,2049.7770419,0.3043478,0,2024
knp_roan_in_8,knp_roan_in,381,456.799987792969,23.25,4650.7083333,3821.3289183,2049.7770419,0.3043478,0,2024
knp_roan_in_9,knp_roan_in,380.999969482422,456.799987792969,23.25,4650.7083333,3821.3289183,2049.7770419,0.3043478,0,2024
knp_roan_in_10,knp_roan_in,380,457.699981689453,23.25,4650.7083333,3821.3289183,2049.7770419,0.3043478,0,2024
knp_roan_in_11,knp_roan_in,380.709686279297,457.661956787109,23.25,4660.4005682,3826.0411939,2053.1338092,0.2895257,0,2024
knp_roan_in_12,knp_roan_in,381,457.630950927734,23.25,4670.092803,3830.7534694,2056.4905765,0.2747036,0,2024
knp_roan_in_13,knp_roan_in,381.999969482422,457.300018310547,23.25,4724.6277778,3857.2678732,2075.377987,0.1913043,0,2024
knp_roan_in_14,knp_roan_in,382,457.299987792969,23.2499980926514,4732.2092593,3860.9539199,2078.0037249,0.1797101,0,2024
knp_roan_in_15,knp_roan_in,382,457.300018310547,23.2500019073486,4736,3862.7969432,2079.3165939,0.173913,0,2024
knp_roan_in_16,knp_roan_in,383.000030517578,457.300018310547,23.25,4736,3862.7969432,2079.3165939,0.173913,0,2024
knp_roan_in_17,knp_roan_in,382.991394042969,457.300018310547,23.25,4736,3862.7969432,2079.3165939,0.173913,0,2024
knp_roan_in_18,knp_roan_in,383,457.299987792969,23.25,4736,3862.7969432,2079.3165939,0.173913,0,2024
knp_roan_out_1,knp_roan_out,380.000030517578,456.400024414063,23.25,2770.8333333,3859.809628,2091.8949672,0.3478261,0,2024
knp_roan_out_2,knp_roan_out,380.062164306641,456.399993896484,23.25,2770.8333333,3859.809628,2091.8949672,0.3478261,0,2024
knp_roan_out_3,knp_roan_out,381.100738525391,456.400024414063,23.25,2770.8333333,3859.809628,2091.8949672,0.3478261,0,2024
knp_roan_out_4,knp_roan_out,382,456.399993896484,23.25,3522.7833333,3844.4173441,2075.0477971,0.3304348,0,2024
knp_roan_out_5,knp_roan_out,382.000030517578,456.399993896484,23.25,3848.2261905,3835.8929521,2070.0442887,0.3291925,0,2024
knp_roan_out_6,knp_roan_out,381.999969482422,456.399993896484,23.25,4094.5426136,3826.5415763,2062.86474,0.3280632,0,2024
knp_roan_out_7,knp_roan_out,381.843383789063,456.399993896484,23.25,4642.6104167,3802.6080574,2048.2962472,0.3326087,0,2024
knp_roan_out_8,knp_roan_out,381.028503417969,456.399993896484,23.25,4641.2162698,3799.385052,2048.0413119,0.3374741,0,2024
knp_roan_out_9,knp_roan_out,381,456.399993896484,23.25,4639.0805556,3794.4476821,2047.6507726,0.3449275,0,2024
knp_roan_out_10,knp_roan_out,381.000030517578,456.399993896484,23.25,4632.64375,3779.5669978,2046.4737307,0.3673913,0,2024
knp_roan_out_11,knp_roan_out,379.8642578125,456.399993896484,23.25,4631.4545455,3776.8177805,2046.2562713,0.3715415,0,2024
knp_roan_out_12,knp_roan_out,379.000030517578,456.942291259766,23.2500019073486,4630.2212963,3773.9667403,2046.0307579,0.3758454,0,2024
knp_roan_out_13,knp_roan_out,379,457.299987792969,23.25,4651.6467803,3779.1071086,2052.4900618,0.3913043,0,2024
knp_roan_out_14,knp_roan_out,380.624969482422,457.299987792969,23.2500019073486,4660.3861111,3784.3060121,2054.947174,0.3913043,0,2024
knp_roan_out_15,knp_roan_out,381,457.299987792969,23.25,4669.7,3789.8467121,2057.5658265,0.3913043,0,2024
knp_roan_out_16,knp_roan_out,380,457.299987792969,23.25,4685.6666667,3799.3450549,2062.0549451,0.3913043,0,2024
knp_roan_out_17,knp_roan_out,379.953308105469,457.299987792969,23.25,4685.6666667,3799.3450549,2062.0549451,0.3913043,0,2024
knp_roan_out_18,knp_roan_out,379,457.300018310547,23.25,4685.6666667,3799.3450549,2062.0549451,0.3913043,0,2024
